
Id Ponto:;2300022135
Consulta em:;16/06/2021 19:04:36
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
1;30/08/2011;18:00;10,79;;N;
2;31/08/2011;09:00;10,73;;N;
3;01/09/2011;15:00;10,75;;N;
4;02/09/2011;15:00;10,74;;N;
5;03/09/2011;09:00;10,75;;N;
6;04/09/2011;21:00;10,72;;N;
7;05/09/2011;21:00;10,75;;N;
8;06/09/2011;09:00;10,77;;N;
9;07/09/2011;08:00;10,75;;N;
10;08/09/2011;09:00;10,77;;N;
11;09/09/2011;16:00;10,77;;N;
12;10/09/2011;17:00;10,82;;N;
13;11/09/2011;03:00;10,68;;N;
14;12/09/2011;10:00;10,75;;N;
15;13/09/2011;09:00;10,80;;N;
16;14/09/2011;15:00;10,81;;N;
17;15/09/2011;00:00;10,80;;N;
18;16/09/2011;17:00;10,81;;N;
19;17/09/2011;15:00;10,81;;N;
20;18/09/2011;21:00;10,82;;N;
21;19/09/2011;13:00;10,80;;N;
22;20/09/2011;15:00;10,81;;N;
23;21/09/2011;10:00;10,83;;N;
24;22/09/2011;09:00;10,83;;N;
25;23/09/2011;09:00;10,83;;N;
26;24/09/2011;07:00;10,80;;N;
27;25/09/2011;10:00;10,84;;N;
28;26/09/2011;14:00;10,86;;N;
29;27/09/2011;14:00;10,88;;N;
30;28/09/2011;14:00;10,89;;N;
31;29/09/2011;22:00;10,88;;N;
32;30/09/2011;16:00;10,88;;N;
33;01/10/2011;15:00;10,88;;N;
34;02/10/2011;15:00;10,87;;N;
35;03/10/2011;15:00;10,90;;N;
36;04/10/2011;15:00;10,90;;N;
37;05/10/2011;09:00;10,92;;N;
38;06/10/2011;09:00;10,92;;N;
39;07/10/2011;15:00;10,92;;N;
40;08/10/2011;10:00;10,95;;N;
41;09/10/2011;22:00;10,94;;N;
42;10/10/2011;10:00;10,96;;N;
43;11/10/2011;15:00;10,98;;N;
44;12/10/2011;15:00;10,97;;N;
45;13/10/2011;08:00;10,98;;N;
46;14/10/2011;22:00;10,95;;N;
47;15/10/2011;10:00;11,00;;N;
48;16/10/2011;21:00;10,94;;N;
49;17/10/2011;08:00;10,97;;N;
50;18/10/2011;10:00;10,98;;N;
51;19/10/2011;02:00;10,86;;N;
52;20/10/2011;09:00;10,92;;N;
53;21/10/2011;21:00;10,92;;N;
54;22/10/2011;09:00;10,94;;N;
55;23/10/2011;09:00;10,96;;N;
56;24/10/2011;21:00;10,96;;N;
57;25/10/2011;21:00;10,96;;N;
58;26/10/2011;09:00;10,97;;N;
59;27/10/2011;10:00;11,00;;N;
60;28/10/2011;15:00;10,98;;N;
61;29/10/2011;10:00;10,83;;N;
62;30/10/2011;05:00;10,99;;N;
63;31/10/2011;09:00;10,98;;N;
64;01/11/2011;08:00;11,01;;N;
65;02/11/2011;08:00;11,05;;N;
66;03/11/2011;08:00;11,01;;N;
67;04/11/2011;08:00;11,01;;N;
68;05/11/2011;09:00;11,02;;N;
69;06/11/2011;11:00;11,03;;N;
70;07/11/2011;15:00;11,05;;N;
71;08/11/2011;08:00;11,03;;N;
72;09/11/2011;21:00;11,01;;N;
73;10/11/2011;14:00;11,06;;N;
74;11/11/2011;09:00;11,03;;N;
75;12/11/2011;14:00;11,09;;N;
76;13/11/2011;08:00;11,08;;N;
77;14/11/2011;08:00;11,07;;N;
78;15/11/2011;14:00;11,07;;N;
79;16/11/2011;21:00;11,09;;N;
80;17/11/2011;15:00;11,09;;N;
81;18/11/2011;12:00;11,10;;N;
82;19/11/2011;14:00;11,12;;N;
83;20/11/2011;20:00;10,94;;N;
84;21/11/2011;22:00;10,87;;N;
85;22/11/2011;15:00;10,85;;N;
86;23/11/2011;11:00;10,88;;N;
87;24/11/2011;08:00;11,02;;N;
88;25/11/2011;11:00;11,06;;N;
89;26/11/2011;08:00;11,10;;N;
90;27/11/2011;15:00;11,11;;N;
91;28/11/2011;21:00;11,11;;N;
92;29/11/2011;13:00;10,95;;N;
93;30/11/2011;05:00;11,10;;N;
94;01/12/2011;08:00;11,15;;N;
95;02/12/2011;14:00;11,13;;N;
96;03/12/2011;13:00;11,16;;N;
97;04/12/2011;14:00;11,18;;N;
98;05/12/2011;22:00;11,14;;N;
99;06/12/2011;11:00;11,18;;N;
100;07/12/2011;14:00;11,18;;N;
101;08/12/2011;16:00;11,22;;N;
102;09/12/2011;14:00;11,20;;N;
103;10/12/2011;14:00;11,22;;N;
104;11/12/2011;16:00;11,23;;N;
105;12/12/2011;09:00;11,24;;N;
106;13/12/2011;13:00;11,12;;N;
107;14/12/2011;00:00;11,09;;N;
108;15/12/2011;21:00;11,22;;N;
109;16/12/2011;15:00;11,23;;N;
110;17/12/2011;09:00;11,25;;N;
111;18/12/2011;22:00;11,28;;N;
112;19/12/2011;23:00;11,27;;N;
113;20/12/2011;16:00;11,30;;N;
114;21/12/2011;15:00;11,30;;N;
115;22/12/2011;08:00;11,29;;N;
116;23/12/2011;15:00;11,26;;N;
117;24/12/2011;15:00;11,36;;N;
118;25/12/2011;16:00;11,33;;N;
119;26/12/2011;09:00;11,25;;N;
120;27/12/2011;16:00;11,34;;N;
121;28/12/2011;15:00;11,36;;N;
122;29/12/2011;15:00;11,35;;N;
123;30/12/2011;09:00;11,35;;N;
124;31/12/2011;15:00;11,39;;N;
125;01/01/2012;15:00;11,37;;N;
126;02/01/2012;09:00;11,38;;N;
127;03/01/2012;22:00;11,40;;N;
128;04/01/2012;22:00;11,42;;N;
129;05/01/2012;15:00;11,40;;N;
130;06/01/2012;22:00;11,39;;N;
131;07/01/2012;14:00;11,44;;N;
132;08/01/2012;14:00;11,44;;N;
133;09/01/2012;10:00;11,43;;N;
134;10/01/2012;22:00;11,40;;N;
135;11/01/2012;09:00;11,47;;N;
136;12/01/2012;21:00;11,49;;N;
137;13/01/2012;16:00;11,49;;N;
138;14/01/2012;15:00;11,54;;N;
139;15/01/2012;09:00;11,52;;N;
140;16/01/2012;15:00;11,55;;N;
141;17/01/2012;22:00;11,54;;N;
142;18/01/2012;09:00;11,50;;N;
143;19/01/2012;22:00;11,56;;N;
144;20/01/2012;09:00;11,53;;N;
145;21/01/2012;18:00;11,58;;N;
146;22/01/2012;15:00;11,58;;N;
